shop,model,product_url
thegioididong,Điện thoại Masstel IZI 10,https://www.thegioididong.com/dtdd/masstel-izi-10
thegioididong,Điện thoại Samsung Galaxy A06 4GB/64GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-64gb
thegioididong,Điện thoại Samsung Galaxy A16 5G 8GB/256GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-5g
thegioididong,Điện thoại iPhone 16 Plus 128GB,https://www.thegioididong.com/dtdd/iphone-16-plus
thegioididong,Điện thoại Benco 4G G3,https://www.thegioididong.com/dtdd/benco-4g-g3
thegioididong,Điện thoại Viettel Sumo 4G T2,https://www.thegioididong.com/dtdd/viettel-sumo-4g-t2
thegioididong,Điện thoại Mobell Rock 7,https://www.thegioididong.com/dtdd/mobell-rock-7
thegioididong,Điện thoại vivo V50 Lite 8GB/256GB,https://www.thegioididong.com/dtdd/vivo-v50-lite?utm_flashsale=1
thegioididong,Điện thoại Mobell F309 4G,https://www.thegioididong.com/dtdd/mobell-f309
thegioididong,Điện thoại HONOR X7c 8GB/256GB,https://www.thegioididong.com/dtdd/honor-x7c
thegioididong,Điện thoại realme C75 8GB/128GB,https://www.thegioididong.com/dtdd/realme-c75-8gb-128gb?utm_flashsale=1
thegioididong,Điện thoại Samsung Galaxy S25 Edge 5G 12GB/512GB,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-edge-5g-512gb
thegioididong,Điện thoại OPPO A5i 4GB/64GB,https://www.thegioididong.com/dtdd/oppo-a5i-4gb-64gb
thegioididong,Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-plus
thegioididong,Điện thoại OPPO Reno13 5G 12GB/256GB,https://www.thegioididong.com/dtdd/oppo-reno13-5g
thegioididong,Điện thoại Xiaomi 15 5G 12GB/512GB,https://www.thegioididong.com/dtdd/xiaomi-15
thegioididong,Điện thoại OPPO A3 8GB/128GB,https://www.thegioididong.com/dtdd/oppo-a3-8gb-128gb
thegioididong,Điện thoại vivo Y03 4GB/128GB,https://www.thegioididong.com/dtdd/vivo-y03?utm_flashsale=1
thegioididong,Điện thoại HONOR 400 Pro 5G 12GB/512GB,https://www.thegioididong.com/dtdd/honor-400-pro
thegioididong,Điện thoại realme Note 60 6GB/128GB,https://www.thegioididong.com/dtdd/realme-note-60?utm_flashsale=1
thegioididong,Điện thoại Samsung Galaxy A16 8GB/128GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-8gb-128gb
thegioididong,Điện thoại Masstel Fami 60S 4G,https://www.thegioididong.com/dtdd/masstel-fami-60s
thegioididong,Điện thoại OPPO Find N3 5G 16GB/512GB,https://www.thegioididong.com/dtdd/oppo-find-n3
thegioididong,Điện thoại Xiaomi 15 Ultra 5G 16GB/512GB Trắng,https://www.thegioididong.com/dtdd/xiaomi-15-ultra-trang
thegioididong,Điện thoại OPPO Reno12 F 8GB/256GB,https://www.thegioididong.com/dtdd/oppo-reno12-f-4g-8gb-256gb
thegioididong,Điện thoại vivo V40 5G 12GB/256GB,https://www.thegioididong.com/dtdd/vivo-v40-5g
thegioididong,Điện thoại OPPO Find X8 5G 16GB/512GB Hồng,https://www.thegioididong.com/dtdd/oppo-find-x8-hong
thegioididong,Điện thoại OPPO Find N5 5G 16GB/512GB,https://www.thegioididong.com/dtdd/oppo-find-n5
thegioididong,Điện thoại OPPO A58 8GB/128GB,https://www.thegioididong.com/dtdd/oppo-a58-4g
thegioididong,Điện thoại vivo Y28 8GB/256GB,https://www.thegioididong.com/dtdd/vivo-y28-256gb
thegioididong,Điện thoại Xiaomi Redmi 13 8GB/128GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-13?utm_flashsale=1
thegioididong,Điện thoại OPPO Reno12 F 5G 12GB/256GB,https://www.thegioididong.com/dtdd/oppo-reno12-f-5g-12gb-256gb
thegioididong,Điện thoại OPPO A3x 4GB/64GB,https://www.thegioididong.com/dtdd/oppo-a3x-4gb-64gb
thegioididong,Điện thoại HONOR X9d 5G 12GB/256GB,https://www.thegioididong.com/dtdd/honor-x9d-5g-12gb-256gb
thegioididong,Điện thoại HONOR X9d 5G 8GB/256GB,https://www.thegioididong.com/dtdd/honor-x9d-5g-8gb-256gb
thegioididong,Điện thoại HONOR X9d 5G 12GB/512GB,https://www.thegioididong.com/dtdd/honor-x9d-5g-12gb-512gb
thegioididong,Điện thoại Tecno Spark 40C 4GB/128GB,https://www.thegioididong.com/dtdd/tecno-spark-40c-4gb-128gb
